"YEAR","MONTH","CITY","COUNT"
1960,7,"N YORK TWP",55
1960,7,"NAPANEE",6
1960,7,"NEW LISKEARD",10
1960,7,"NEW TORONTO",9
1960,7,"NEWMARKET",13
1960,7,"NIAGARA FALLS",42
1960,7,"NORTH BAY",33
1960,7,"OAKVILLE",13
1960,7,"ORILLIA",17
1960,7,"OSHAWA",62
1960,7,"OTTAWA",212
1960,7,"OWEN SOUND",18
1960,7,"PARRY SOUND",13
1960,7,"PEMBROKE",25
1960,7,"PERTH",6
1960,7,"PETERBOROUGH",58
1960,7,"PETROLIA",6
1960,7,"PICTON",10
1960,7,"PORT ARTHUR",50
1960,7,"PORT COLBORNE",13
1960,7,"PORT CREDIT",19
1960,7,"PORT HOPE",14
1960,7,"PRESCOTT",7
1960,7,"PRESTON",16
1960,7,"RENFREW",14
1960,7,"RICHMOND HILL",8
1960,7,"SALTFLEET TWP",7
1960,7,"SANDWICH E TWP",6
1960,7,"SANDWICH W TWP",7
1960,7,"SARNIA",40
1960,7,"SAULT STE MARIE",63
1960,7,"SCARBOROUGH TWP",72
1960,7,"SIMCOE",9
1960,7,"ST CATHARINES",57
1960,7,"ST THOMAS",24
1960,7,"STAMFORD TWP",11
1960,7,"STRATFORD",17
1960,7,"STRATHROY",10
1960,7,"STURGEON FALLS",11
1960,7,"SUDBURY",103
1960,7,"TECK TWP",24
1960,7,"TECUMSEH",6
1960,7,"THOROLD",9
1960,7,"TILLSONBURG",8
1960,7,"TIMMINS",63
1960,7,"TORONTO",1196
1960,7,"TORONTO TWP",23
1960,7,"TRENTON",16
1960,7,"WAINFLEET TWP",6
1960,7,"WALLACEBURG",12
1960,7,"WATERLOO",14
1960,7,"WELLAND",41
1960,7,"WESTON",15
1960,7,"WHITBY",19
1960,7,"WINDSOR",123
1960,7,"WOODSTOCK",25
1960,7,"YORK TWP",36
1960,6,"AGINCOURT",7
1960,6,"AMHERSTBURG",6
1960,6,"ARNPRIOR",8
1960,6,"AURORA",6
1960,6,"BANCROFT",7
1960,6,"BARRIE",11
1960,6,"BELLEVILLE",32
1960,6,"BLENHEIM",8
1960,6,"BLIND RIVER",8
1960,6,"BOBCAYGEON",6
1960,6,"BOWMANVILLE",6
1960,6,"BRACEBRIDGE",9
1960,6,"BRAMPTON",9
1960,6,"BRANTFORD",51
1960,6,"BRANTFORD TWP",8
1960,6,"BROCKVILLE",18
1960,6,"BURLINGTON",26
1960,6,"CAMP BORDEN",6
1960,6,"CAMPBELLFORD",6
1960,6,"CARLETON PLACE",8
1960,6,"CHATHAM",25
1960,6,"CLINTON",7
1960,6,"COBOURG",8
1960,6,"COCHRANE",6
1960,6,"COLLINGWOOD",7
1960,6,"CORNWALL",33
1960,6,"DELHI",8
1960,6,"DUNDAS",7
1960,6,"DUNNVILLE",8
1960,6,"E YORK TWP",16
1960,6,"EASTVIEW",22
1960,6,"ELLIOT LAKE",14
1960,6,"ETOBICOKE TWP",44
1960,6,"FORT ERIE",8
1960,6,"FORT FRANCES",9
